# OdeToJoy by ChenPi
# <main_melody> <vice_melody(disable in DOS mode)> <duration> <text>
3 3 500
3 3 500
4 4 500
5 5 500
5 5 500
4 4 500
3 3 500
2 2 500
1 1 500
1 1 500
2 2 500
3 3 500
3 3 900
2 2 300
2 2 300
0 0 500
 
3 3 500
3 3 500
4 4 500
5 5 500
5 5 500
4 4 500
3 3 500
2 2 500
1 1 500
1 1 500
2 2 500
3 3 500
2 2 900
1 1 300
1 1 300
0 0 500
 
2 2 500
2 2 500
3 3 500
1 1 500
2 2 500
3 3 300
4 4 300
3 3 500
1 1 500
2 2 500
3 3 300
4 4 300
3 3 500
2 2 500
1 1 500
2 2 500
.5 .5 500
3 3 900
 
3 3 500
4 4 500
5 5 500
5 5 500
4 4 500
3 3 500
2 2 500
1 1 500
1 1 500
2 2 500
3 3 500
2 2 900
1 1 300
1 1 300
